recordedName,band,inductedCount,inducted,candidateInducteeId,candidateName,candidateBasis,candidateVerificationLayer,candidateEvidence,proposedCount,proposedLabels,currentStatus,decision,inducteeId,decisionReference,note
Sam Miller,no-candidate,4,albert-b-ratner-2011 bishop-anthony-pilla-2015 milton-maltz-2012 thomas-j-scanlon-2014,,,,,,0,,unresolved,,,,
Alex Machaskee,single-candidate,3,georgine-welo-2023 ingrida-bublys-2019 jose-c-feliciano-2012,alex-machaskee-2010,Alex Machaskee,corpus-induction-record,canonical-profile-field,Inducted by Alex Machaskee.,3,inducted Georgine Welo | inducted Ingrida Bublys | inducted José C. Feliciano,unresolved,inductee,alex-machaskee-2010,cur-2026-061,
Gerry Quinn,no-candidate,3,margaret-lynch-2020 pat-dowd-2023 sheila-murphy-crawford-2018,,,,,,0,,unresolved,,,,
Margaret Wong,single-candidate,3,giahoa-ryan-2011 johnny-k-wu-2024 may-chen-2020,margaret-w-wong-2010,Margaret W. Wong,corpus-induction-record,documented-source-candidate,Original CIHOF profile lists inducted by Margaret Wong.,3,inducted Giahoa Ryan | inducted Johnny K. Wu | inducted May Chen,unresolved,inductee,margaret-w-wong-2010,cur-2026-061,
Blaine Griffin,no-candidate,2,khalid-samad-2016-2016 lucy-torres-2026,,,,,,0,,unresolved,,,,
Dick Russ,single-candidate,2,alex-machaskee-2010 ken-kovach-2012,dick-russ-2015,Dick Russ,corpus-induction-record,canonical-profile-field,Inducted by Dick Russ.,2,inducted Alex Machaskee | inducted Ken Kovach,unresolved,inductee,dick-russ-2015,cur-2026-061,
Joe Cimperman,no-candidate,2,david-gilbert-2025 michael-d-polensek-2023,,,,,,0,,unresolved,,,,
Mike Polensek,no-candidate,2,dona-brady-2024 joe-valencic-2020,,,,,,0,,unresolved,,,,
Paul Burik,ambiguous,2,berj-shakarian-2020 leo-weidenthal-2010,paul-burik-2019 wael-khoury-2017,Paul Burik | Wael Khoury,corpus-induction-record,canonical-profile-field,Inducted by Paul Burik.,0,,unresolved,,,,
Pierre Bejjani,single-candidate,2,abby-mina-2018 richard-a-ganim-2015,pierre-bejjani-2023,Pierre Bejjani,corpus-induction-record,canonical-profile-field,Inducted by Pierre Bejjani.,2,inducted Abby Mina | inducted Richard A. Ganim,unresolved,inductee,pierre-bejjani-2023,cur-2026-061,
Sudarshan Sathe,ambiguous,2,mona-alag-2017 ramesh-shah-2020,sudarshan-sathe-2023 dr-jaya-shah-2012,Sudarshan Sathe | Dr. Jaya Shah,corpus-induction-record,canonical-profile-field,Inducted by Sudarshan Sathe.,0,,unresolved,,,,
Aidan Cronin Consul General of Ireland,no-candidate,1,jack-coyne-2013,,,,,,0,,unresolved,,,,
Aklilu Demessie,single-candidate,1,carl-robson-2022,aklilu-demessie-2026,Aklilu Demessie,corpus-induction-record,canonical-profile-field,Inducted by Aklilu Demessie.,1,inducted Carl Robson,unresolved,inductee,aklilu-demessie-2026,cur-2026-061,
